id,bus_route_id,bus_stop_id,bus_stop_number,created_at,updated_at
302,311,62,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
303,499,63,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
304,311,63,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
305,487,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
306,499,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
307,500,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
308,303,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
309,309,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
310,311,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
311,888,64,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
312,487,65,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
313,309,65,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
314,487,66,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
315,303,66,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
316,309,66,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
317,309,67,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
318,309,68,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
319,309,69,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
320,303,70,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
321,309,70,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
322,309,71,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
323,309,72,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
324,487,73,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
325,499,74,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
326,311,74,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
327,487,75,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
328,499,76,,2026-05-04 18:27:34 UTC,2026-05-04 18:27:34 UTC
