id,gml_id,name,latitude,longitude,created_at,updated_at,postal_code,prefecture,city,formatted_address,keyword
159,ED01_159,波佐間港,34.97395325,139.78128509,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
160,ED01_160,オーパ村,34.93299555,139.82697246,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
161,ED01_161,安房神社前,34.92888075,139.83666149,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
162,ED01_162,矢尻の井戸前,34.97473124,139.76172972,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
163,ED01_163,下神余,34.92878265,139.86620881,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
164,ED01_164,館野,34.99645688,139.88915006,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
165,ED01_165,稲村,34.99882513,139.90013007,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
166,ED01_166,竹原口,35.00104486,139.91468188,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
167,ED01_167,大木の下,34.99677144,139.91746797,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
168,ED01_168,豊房,34.97218832,139.87593293,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
169,ED01_169,南総文化ホール,34.99167504,139.87395444,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
170,ED01_170,上野原,34.99178949,139.87685516,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
171,ED01_171,館野農協前,34.99131342,139.88342837,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
172,ED01_172,山本口,34.99225566,139.88629579,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
173,ED01_173,国分寺前,34.99438082,139.88894121,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
174,ED01_174,萱野口,34.99878546,139.88940566,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
175,ED01_175,滝川口,34.99915888,139.89322688,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
176,ED01_176,城山下,34.99943773,139.90511269,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
177,ED01_177,九重駅入口,34.99926789,139.91203899,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
178,ED01_178,九重小学校前,35.0019966,139.91883074,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
179,ED01_179,二子,34.99751036,139.91399602,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
180,ED01_180,岡田口,34.9675985,139.87683393,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
181,ED01_181,安房西長田,34.96344349,139.87661188,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
182,ED01_182,安布里,34.99146536,139.88109627,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
183,ED01_183,九重駅前,34.99816834,139.91026736,2026-05-06 18:01:33 UTC,2026-05-06 18:01:33 UTC,,千葉県,,,
